,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9,Comp.10,Comp.11,Comp.12,Comp.13,Comp.14,Comp.15,Comp.16,Comp.17,Comp.18,Comp.19,Comp.20,Comp.21,Comp.22,Comp.23,Comp.24,Comp.25,Comp.26,Comp.27,Comp.28,Comp.29,Comp.30,Comp.31,Comp.32,Comp.33,Comp.34,Comp.35,Comp.36,Comp.37,Comp.38,Comp.39,Comp.40,Comp.41,Comp.42,Comp.43,Comp.44
mths_since_last_major_derog,-0.005495447,0.003289441,-0.23973134,0.391082919,-0.071381012,0.164145423,0.113475228,0.101768391,0.087145629,0.049154042,-0.051926613,-0.056045492,-0.014481014,0.017704837,0.013711934,-0.010680648,0.000656614,0.01463701,-0.068975471,0.03806918,-0.012225682,0.026746035,0.027214168,-0.093343941,0.241395783,-0.084932653,-0.091936428,-0.430744845,-0.049835625,-0.292969257,-0.583220597,0.075825511,-0.026756479,-0.064043471,0.008246287,-0.002437378,-0.005547616,-0.009664734,0.002519417,0.034951638,-0.026423115,-0.001414546,0.000159505,0.01494353
annual_inc_joint,-0.017683463,0.027611952,-0.083519974,-0.121967294,-0.1764194,0.423755932,-0.482314032,-0.101952579,0.074776578,-0.000381199,-0.043900195,-0.003252303,0.00220062,-0.004620079,0.053564464,0.107460881,0.02824731,0.008302177,-0.018415865,0.000879099,0.001203638,0.005333907,0.011831792,0.012360071,0.001231059,-0.006273387,0.002806617,8.46E-05,-0.006229845,0.000352352,-0.001934676,-0.016270734,0.008971353,-0.002122274,-0.072343792,-0.700900094,0.053516851,0.006273261,-0.00319724,-0.001053289,-0.001599085,-0.000878626,0.001554461,-0.000963002
dti_joint,-0.0136509,0.019511106,-0.08318743,-0.122670744,-0.183046757,0.417839103,-0.486390021,-0.108218572,0.072154277,0.002439856,-0.048714885,-0.004751843,0.002384174,-0.004445406,0.046642661,0.092178107,0.03105924,0.009312628,-0.019332038,0.003004503,-0.003926542,0.005403348,0.004566594,0.005178395,0.003541039,-5.60E-05,0.00872404,-0.004942273,0.001348329,0.003833426,-0.004349933,-0.021627612,-0.042572706,-0.001457915,0.069863071,0.70082149,-0.052506669,-0.004745201,0.000543298,8.91E-05,0.002415991,0.000207413,-0.001439768,-0.000517117
acc_now_delinq,-0.006623303,0.020697642,-0.014884686,-0.004872893,0.038320299,0.008420629,-0.009821416,-0.079689056,-0.140170881,-0.442665867,0.051356519,-0.475331841,-0.00811128,0.040633131,-0.016901959,0.003626871,0.009751368,-0.052113131,-0.058901222,0.662620572,0.027362705,-0.265155742,-0.127785632,0.025460951,0.094498738,-0.004488233,-0.033520764,0.024417162,-0.019418591,0.012302089,0.016133117,0.005521326,0.008053521,0.009118965,-0.001782413,-0.000811195,-0.003460219,-0.000636881,8.12E-06,-0.006888126,0.004206571,-0.000163044,-0.0018043,0.000144134
tot_coll_amt,0.000770563,0.000958089,-0.018187784,0.025341065,-0.000102842,0.013681141,0.003458917,0.013166437,0.005991806,-0.013101767,-0.028279413,0.009585199,-0.058783854,-0.470041024,-0.798246739,0.36357578,-0.036490586,0.013716125,0.003116521,0.01115487,-0.006688983,-0.008740067,-0.007230817,0.005377136,-0.033207305,0.016001204,-0.001925003,-0.020803679,-0.005593702,-0.007400775,-0.002352754,0.00079582,-0.000643586,-0.002545061,0.000427252,-0.000130089,-0.00287259,4.09E-05,0.000822342,-0.00154152,0.00347405,0.000244342,-0.000597463,8.61E-05
tot_cur_bal,-0.263176675,0.309769416,-0.036516703,-0.013662804,0.149625812,0.022918165,0.036784796,-0.153405558,0.17011722,0.016685388,0.091598677,0.004844169,0.020480094,0.016149577,-0.021596233,-0.015700961,-0.011162694,-0.011547315,0.107710067,0.011982439,0.002012679,-0.021708572,0.025208218,-0.02619221,-0.072118053,-0.196347476,-0.041059124,0.006721912,-0.093151969,0.033593341,-0.004789173,0.033392167,-0.021489058,-0.040035649,0.070981941,0.007813158,0.174233739,0.001506488,0.306536976,0.051486762,-0.0406232,-1.30E-06,-0.735100222,0.006780512
open_acc_6m,-0.058473018,-0.072706171,-0.337364799,-0.181084372,-0.028529579,-0.049551534,0.047367753,0.092043794,0.048257338,-0.007978722,0.249952955,0.042782072,0.006617564,0.113830427,-0.084156505,-0.003056773,0.250988952,-0.088082852,0.003771279,0.013446757,-0.171740124,0.10907487,-0.232369744,0.028314844,0.045566189,0.128695969,0.400597617,-0.026841699,-0.346382707,0.292252503,-0.207367467,-0.31223909,0.224758931,0.011096582,0.003501028,0.004780271,0.018427394,-0.000935048,-0.0018749,-6.76E-05,0.004062841,0.003253205,-0.000928425,0.000975129
mths_since_rcnt_il,0.002462509,-0.009115521,-0.124410488,-0.187114166,-0.131670226,0.144556501,0.235678801,0.11851302,0.117859423,-0.183960869,-0.054562064,0.084186314,-0.053042536,0.01410211,0.009856323,0.005711352,-0.152980354,-0.102613965,-0.137967506,-0.178779037,0.630003004,-0.12546403,-0.394600318,0.218567192,-0.066550503,-0.206463949,0.046845313,0.000491095,0.036582316,-0.105740291,0.012870022,-0.113327319,-0.064904481,0.002020811,0.021462052,-0.000636724,-0.002341547,-0.001536581,0.008319905,0.003150457,-0.007090171,0.002219469,0.001623835,-0.00124547
total_bal_il,-0.099696738,0.079359453,-0.345407533,-0.219758587,-0.107923532,-0.114254421,0.057221546,-0.033345944,-0.17294991,0.128705419,-0.045899007,-0.049828397,0.013990415,-0.003172379,0.005498587,0.020917062,0.080504903,0.052928886,-0.037266803,0.052123529,-0.126750116,0.153560201,-0.140128524,-0.079119016,-0.080008123,-0.09193414,-0.394021202,0.038302624,0.299499438,-0.145626861,0.040951939,-0.230162392,0.162006047,-0.173232795,-0.472146154,0.04320153,-0.091259752,-0.139871819,0.100902266,0.009552818,0.00709779,0.002197412,-0.00285958,0.000468346
il_util,-0.041904259,0.003502737,-0.370661691,-0.269280979,-0.161202801,-0.049896534,0.124364233,0.071272789,-0.025240462,0.001813871,0.047182777,0.007361162,0.011071636,0.052080786,-0.032885243,0.003471379,0.092844929,0.000147656,0.031172873,0.054218962,-0.175820875,0.18215909,-0.160593319,-0.057353829,0.007240465,0.095826312,-0.088423107,0.01701222,0.090589794,0.010673941,0.074613385,0.447058959,-0.540081504,0.067769893,0.274543819,-0.042187279,0.071712783,0.105421754,-0.076686311,0.002181874,-0.005306454,0.004722228,0.005534424,0.001098523
